volcano_name,volcano_image,volcano_type,country,region,subregion,epoch_period,last_eruption,summit_m,elevation_ft,latitude,longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Bolaven Plateau,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent(s),Laos,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,1350,4429,15.142°N,106.45°E,,,,
Bolshaya Ipelka,https://volcano.si.edu/gallery/photos/GVP-11315.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1194,3917,52.63°N,156.97°E,,,,
Bolshaya Romanovka,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1821,5974,55.73°N,158.77°E,0,0,26,2653
Bolshoi Payalpan,https://volcano.si.edu/gallery/photos/GVP-12618.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1906,6253,55.88°N,157.78°E,,,,
Bolshoy Chekchebonay,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1391,4564,56.92°N,159.42°E,,,,
Bolshoy Ketepana,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1521,4990,57.05°N,158.37°E,,,,
Bolshoy Kozyrevsky,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1672,5486,55.6°N,158.52°E,,,,
Bongabti,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1790,5873,55.83°N,158.32°E,920,30581,103744,321195
Borawli,https://volcano.si.edu/gallery/photos/GVP-11174.jpg,Lava dome(s),Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,875,2871,11.63°N,41.45°E,,,,
Boring Lava,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,1236,4055,45.3°N,122.5°W,,,,
Bosavi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,New Guinea and D'Entrecasteaux Islands,pleistocene,Pleistocene,2397,7864,6.58°S,142.82°E,,,,
Bouillante Chain,https://volcano.si.edu/includes/images/noimage.jpg,Maar(s),France,Volcanic Region,West Indies,pleistocene,Pleistocene,420,1378,16.12°N,61.75°W,,,,
Bowie Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Canada,Volcanic Region,Pacific Ocean (northern),pleistocene,Pleistocene,-30,-98,53.3°N,135.65°W,,,,
Brabant Island,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,2522,8274,64.28°S,62.33°W,,,,
Broken Top,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2797,9177,44.08°N,121.7°W,,,,
Brontona Island,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,Volcanic Region,Kuril Islands,pleistocene,Pleistocene,0,0,46.721°N,150.733°E,,,,
Brown Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2228,7310,42.365°N,122.27°W,,,,
Bruntal Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Czech Republic,Volcanic Region,Western Europe,pleistocene,Pleistocene,780,2559,49.88°N,17.475°E,0,377,7083,95288
Brushy Butte,https://volcano.si.edu/gallery/photos/GVP-06604.jpg,Shield,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,1168,3832,41.178°N,121.445°W,,,,
Buduli,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1477,4846,56.4°N,158.7°E,,,,
"Buena Vista, Cerro",https://volcano.si.edu/gallery/photos/GVP-10775.jpg,Stratovolcano,El Salvador,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,750,2461,13.25°N,88.15°W,,,,
Buffalo Valley,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (Nevada),pleistocene,Pleistocene,1750,5741,40.35°N,117.3°W,,,,
Bundaberg-Boyne Province,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,330,1083,25.58°S,151.87°E,,,,
Burfell,https://volcano.si.edu/includes/images/noimage.jpg,Tuya,Iceland,Volcanic Region,Iceland (northeastern),pleistocene,Pleistocene,953,3127,65.55°N,16.65°W,,,,
Buriram,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Thailand,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,15°N,103°E,,,,
Burko,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Tanzania,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,2136,7008,3.3°S,36.22°E,,,,
Burney Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),United States,Volcanic Region,USA (California),pleistocene,Pleistocene,2397,7864,40.806°N,121.628°W,,,,
Bursey,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,2787,9144,76°S,132.67°W,,,,
"Cacahuatique, Cerro",https://volcano.si.edu/gallery/photos/GVP-07212.jpg,Stratovolcano,El Salvador,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,1500,4921,13.75°N,88.2°W,,,,
Cakrabuana,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Java,pleistocene,Pleistocene,1721,5646,7.03°S,108.13°E,,,,
"Calanterique, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Lava cone,Honduras,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,0,0,14.6°N,87.87°W,,,,
Calpi,https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone(s),Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3215,10548,1.634°S,78.728°W,,,,
Camargo Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,1900,6234,27.75°N,104.42°W,,,,
Cancajanag,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Philippines,Volcanic Region,Central Philippines,pleistocene,Pleistocene,900,2953,11.07°N,124.78°E,,,,
Canlancang,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Java,pleistocene,Pleistocene,1651,5417,6.958°S,107.95°E,,,,
"Cantaro, Volcan el",https://volcano.si.edu/gallery/photos/GVP-08586.jpg,Stratovolcano,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,2920,9580,19.72°N,103.63°W,,,,
Cap-Vert,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Senegal,Volcanic Region,Africa (northern),pleistocene,Pleistocene,0,0,14.77°N,17.4°W,,,,
Capital,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,Alaska (eastern),pleistocene,Pleistocene,2356,7730,62.43°N,144.12°W,,,,
Cappy Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2253,7392,43.31°N,121.979°W,,,,
Capur,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5216,17113,24.02°S,67.85°W,,,,
Caquena,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,0,0,18.07°S,69.22°W,,,,
"Caraïbes, Monts",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,France,Volcanic Region,West Indies,pleistocene,Pleistocene,687,2254,15.97°N,61.68°W,,,,
"Carbets, Pitons de",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,France,Volcanic Region,West Indies,pleistocene,Pleistocene,1196,3924,14.7°N,61.12°W,,,,
Caribou,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,2309,7575,40.6°N,121.15°W,,,,
Carihuairazo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,5102,16739,1.404°S,78.75°W,,,,
Cariliao,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,656,2152,14.13°N,120.75°E,,,,
"Cariquima, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5365,17602,19.55°S,68.68°W,,,,
Casitagua,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3501,11486,0.036°S,78.48°W,,,,
Cat Hills,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (New Mexico),pleistocene,Pleistocene,1750,5741,34.83°N,106.83°W,,,,
Cañapa,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5630,18471,21.5°S,68.12°W,,,,
Central Segment,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Volcanic Region,Pacific Ocean (northern),pleistocene,Pleistocene,-3300,-10827,41.78°N,127.109°W,,,,
Central Slovakia,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Slovakia,Volcanic Region,Western Europe,pleistocene,Pleistocene,1009,3310,48.403°N,18.877°E,,,,
Centre Hills,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),United Kingdom,Volcanic Region,West Indies,pleistocene,Pleistocene,741,2431,16.759°N,62.196°W,,,,
Ceyhan-Osmaniye,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Turkey,Volcanic Region,Turkey,pleistocene,Pleistocene,424,1391,37°N,36.083°E,,,,
Ch'Ilalo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,4005,13140,7.92°N,39.27°E,,,,
Chalpatan,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3624,11890,0.711°N,77.784°W,,,,
Chalupas,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4812,15787,0.804°S,78.3°W,,,,
Cham,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Cambodia,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,12.1°N,105.6°E,,,,
Chanthaburi,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Thailand,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,12.5°N,102.2°E,,,,
"Chascon, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Bolivia,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5125,16814,21.88°S,67.9°W,,,,
Chavycha,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1190,3904,56.55°N,158.65°E,,,,
Cheb Basin,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Czech Republic,Volcanic Region,Western Europe,pleistocene,Pleistocene,585,1919,49.97°N,12.392°E,14959,62234,676872,8954351
Chericha,https://volcano.si.edu/gallery/photos/GVP-12577.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,1636,5367,6.712°N,38.085°E,0,0,10,10408
Cherny,https://volcano.si.edu/gallery/photos/GVP-12629.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1778,5833,56.82°N,159.67°E,,,,
Chew Bahir,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,600,1969,4.47°N,36.87°E,,,,
"Chi, Tarso Emi",https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Chad,Volcanic Region,Africa (northern),pleistocene,Pleistocene,2650,8694,21.22°N,18.52°E,,,,
Chifeng,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,China,Volcanic Region,China (eastern),pleistocene,Pleistocene,0,0,42.25°N,118.5°E,,,,
Chilcotin Group-North,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,Volcanic Region,Canada,pleistocene,Pleistocene,1800,5906,51.45°N,122.33°W,,,,
Chilcotin Group-South,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,Volcanic Region,Canada,pleistocene,Pleistocene,2100,6890,50.15°N,119.62°W,,,,
Chiltazon,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3967,13015,0.687°N,78.021°W,,,,
Chilung Group,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Taiwan,Volcanic Region,Taiwan,pleistocene,Pleistocene,729,2392,25.08°N,121.85°E,,,,
China Hat-East Butte,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2004,6575,43.681°N,121.034°W,,,,
Chojagahara,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,390,1280,34.271°N,131.669°E,,,,
"Chopo, Cerro",https://volcano.si.edu/gallery/photos/GVP-08284.jpg,Pyroclastic cone,Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,402,1319,10.472°N,85.07°W,,,,
Chott Tigri Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,1388,4554,32.92°N,1.85°W,,,,
Chubetsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,1963,6440,43.589°N,142.898°E,,,,
Chudleigh Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,1000,3281,19.73°S,144.2°E,,,,
Chup,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Cambodia,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,11.9°N,105.82°E,,,,
Cibugis,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Java,pleistocene,Pleistocene,613,2011,6.5°S,106.57°E,,,,
Cikuray,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Java,pleistocene,Pleistocene,2784,9134,7.322°S,107.86°E,,,,
Cima Lava Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,1509,4951,35.27°N,115.75°W,,,,
Cinder Butte,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,1337,4386,40.87°N,121.49°W,,,,
Clayton Valley,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,United States,Volcanic Region,USA (Nevada),pleistocene,Pleistocene,1490,4888,37.82°N,117.62°W,30,39,753,41053
Cochiquito Volcanic Group,https://volcano.si.edu/gallery/photos/GVP-11467.jpg,Stratovolcano(es),Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,1435,4708,36.739°S,69.834°W,,,,
"Coco, Isla del",https://volcano.si.edu/gallery/photos/GVP-11568.jpg,Shield,Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,575,1886,5.53°N,87.082°W,,,,
Cofrentes,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Spain,Volcanic Region,Western Europe,pleistocene,Pleistocene,514,1686,39.235°N,1.064°W,,,,
Cole,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,-2400,-7874,33.411°S,179.953°E,,,,
"Colorado, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Argentina,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,6049,19846,26.18°S,68.37°W,,,,
"Colorado, Lomas de",https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,229,751,10.658°N,83.721°W,,,,
"Columbretes, Islas",https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Spain,Volcanic Region,Western Europe,pleistocene,Pleistocene,33,108,39.896°N,0.686°E,2738,50749,231112,2528256
Conchagua,https://volcano.si.edu/gallery/photos/GVP-07408.jpg,Stratovolcano,El Salvador,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,1225,4019,13.275°N,87.845°W,1076,5575,172113,2625176
Conchaguita,https://volcano.si.edu/gallery/photos/GVP-07416.jpg,Stratovolcano,El Salvador,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,505,1657,13.229°N,87.767°W,,,,
Cone-Culasi,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,959,3146,13.92°N,123.02°E,,,,
Copa-Ocana,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5299,17385,20.643°S,68.439°W,,,,
Copco Lake,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),United States,Volcanic Region,USA (California),pleistocene,Pleistocene,975,3199,41.97°N,122.33°W,0,0,1024,8842
Copiapo,https://volcano.si.edu/gallery/photos/GVP-08517.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,6052,19856,27.3°S,69.13°W,,,,
Corazon,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4786,15702,0.528°S,78.658°W,,,,
Corregidor,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,173,568,14.4°N,120.58°E,516,516,1517,5340
Corvo,https://volcano.si.edu/gallery/photos/GVP-12005.jpg,Stratovolcano,Portugal,Volcanic Region,Azores,pleistocene,Pleistocene,718,2356,39.699°N,31.111°W,370,370,577,71942
Coso Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-06728.jpg,Lava dome(s),United States,Volcanic Region,USA (California),pleistocene,Pleistocene,2400,7874,36.03°N,117.82°W,,,,
Cotacachi,https://volcano.si.edu/gallery/photos/GVP-11645.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4939,16204,0.364°N,78.351°W,,,,
Cowhorn Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2336,7664,43.4°N,122.054°W,,,,
Crary Group,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,3654,11988,76.767°S,117.717°W,,,,
Crater Flat,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (Nevada),pleistocene,Pleistocene,1128,3701,36.77°N,116.55°W,351,1907,13731,875371
Crater Mountain,https://volcano.si.edu/gallery/photos/GVP-11712.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,New Guinea and D'Entrecasteaux Islands,pleistocene,Pleistocene,2950,9678,6.581°S,145.091°E,,,,
Crown Island,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,Northeast of New Guinea,pleistocene,Pleistocene,298,978,5.117°S,146.952°E,40,132,2524,415432
Cuernos del Diablo,https://volcano.si.edu/gallery/photos/GVP-11542.jpg,Stratovolcano,Chile,Volcanic Region,Southern Chile and Argentina,pleistocene,Pleistocene,1846,6056,41.363°S,72.005°W,,,,
Culpepper,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Ecuador,Volcanic Region,Galapagos Islands,pleistocene,Pleistocene,168,551,1.62°N,92°W,,,,
Cultus Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2060,6759,43.819°N,121.871°W,,,,
Cupaello,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Italy,Volcanic Region,Italy,pleistocene,Pleistocene,650,2133,42.43°N,12.93°E,,,,
Cupit Mary Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,1879,6165,43.731°N,122.11°W,,,,
Curutu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5394,17697,23.17°S,67.07°W,,,,
Cusin,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3989,13087,0.127°N,78.154°W,,,,
Cutanga,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Colombia,Volcanic Region,Colombia,pleistocene,Pleistocene,4300,14108,1.83°N,76.45°W,,,,
Cuxliquel,https://volcano.si.edu/gallery/photos/GVP-10497.jpg,Lava dome(s),Guatemala,Volcanic Region,Guatemala,pleistocene,Pleistocene,3029,9938,14.889°N,91.398°W,24690,24690,69813,2253282
Dacht-i-Navar Group,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Afghanistan,Volcanic Region,Middle East (eastern),pleistocene,Pleistocene,3800,12467,33.95°N,67.92°E,,,,
Dagit-Dagitan,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,364,1194,13.53°N,121.078°E,,,,
Daikonjima,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,42,138,35.493°N,133.174°E,,,,
Dainichigatake,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1709,5607,35.998°N,136.841°E,,,,
Dainichiyama,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1369,4491,36.15°N,136.5°E,,,,
Daira-Komagatake,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1158,3799,40.41°N,140.255°E,,,,
Daisen,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1729,5673,35.368°N,133.549°E,,,,
Daito,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1366,4482,38.299°N,140.527°E,,,,
Dalaha'ale,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,881,2890,12.274°N,42.044°E,,,,
Dalainuoer,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),China,Volcanic Region,China (eastern),pleistocene,Pleistocene,0,0,44°N,115.5°E,,,,
Darai Hills,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Papua New Guinea,Volcanic Region,New Guinea and D'Entrecasteaux Islands,pleistocene,Pleistocene,500,1640,6.8°S,143.08°E,,,,
Dark Mountain,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Canada,Volcanic Region,Canada,pleistocene,Pleistocene,1972,6470,58.52°N,129.6°W,,,,
Darlac Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Cone(s),Vietnam,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,12.88°N,108.2°E,,,,
Daruma,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,982,3222,34.952°N,138.843°E,,,,
Data Gabalti,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,583,1913,12.197°N,42.135°E,,,,
Datong-Fengzen,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,China,Volcanic Region,China (eastern),pleistocene,Pleistocene,1882,6175,40°N,113.28°E,,,,
Dawa Ale-Quarry,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,0,0,12.75°N,41°E,,,,
Ded i Baba,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1032,3386,51.3°N,156.58°E,,,,
Defiance,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,1512,4961,45.649°N,121.723°W,,,,
Dehaj-Meduk,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Iran,Volcanic Region,Middle East (eastern),pleistocene,Pleistocene,0,0,30.33°N,55.5°E,,,,
Deslinde,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5651,18540,22.27°S,67.97°W,,,,
Devils Desk,https://volcano.si.edu/gallery/photos/GVP-08535.jpg,Stratovolcano,United States,Volcanic Region,Alaska Peninsula,pleistocene,Pleistocene,1955,6414,58.474°N,154.306°W,,,,
Dgida Basin,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Russia,Volcanic Region,Russia (southeastern),pleistocene,Pleistocene,1500,4921,50.52°N,103.25°E,,,,
Diamond Peak,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2665,8743,43.521°N,122.148°W,,,,
Didolli,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,1191,3907,12.7°N,41.58°E,2815,2815,7605,119999
Dilo-Dukana Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12233.jpg,Volcanic field,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,1111,3645,4.063°N,37.488°E,,,,
Discovery,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,2578,8458,78.374°S,165.015°E,,,,
